"Alba";"Abrud";"BCG ( Alt produs )";"10";"2017"
"Alba";"Abrud";"Diftavax";"23";"2017"
"Alba";"Abrud";"Engerix B";"5";"2017"
"Alba";"Abrud";"Euvax";"4";"2017"
"Alba";"Abrud";"Hexacima";"25";"2017"
"Alba";"Abrud";"Infanrix hexa";"3";"2017"
"Alba";"Abrud";"M-M-RVAXPRO";"26";"2017"
"Alba";"Abrud";"Tetraxim";"16";"2017"
"Alba";"Acmariu";"Diftavax";"2";"2017"
"Alba";"Acmariu";"M-M-RVAXPRO";"1";"2017"
"Alba";"Acmariu";"Tetraxim";"1";"2017"
"Alba";"Aiud";"BCG ( Alt produs )";"47";"2017"
"Alba";"Aiud";"BCG - Cantacuzino";"4";"2017"
"Alba";"Aiud";"Diftavax";"56";"2017"
"Alba";"Aiud";"DTCoq";"2";"2017"
"Alba";"Aiud";"Engerix B";"22";"2017"
"Alba";"Aiud";"Euvax";"18";"2017"
"Alba";"Aiud";"Hepavax";"11";"2017"
"Alba";"Aiud";"Hexacima";"123";"2017"
"Alba";"Aiud";"Infanrix";"3";"2017"
"Alba";"Aiud";"Infanrix hexa";"12";"2017"
"Alba";"Aiud";"M-M-RVAXPRO";"182";"2017"
"Alba";"Aiud";"Meningococic tip A+C";"7";"2017"
"Alba";"Aiud";"Pentaxim";"18";"2017"
"Alba";"Aiud";"Pneumo23";"3";"2017"
"Alba";"Aiud";"Polio SABIN";"5";"2017"
"Alba";"Aiud";"Priorix";"10";"2017"
"Alba";"Aiud";"Sinflorix";"1";"2017"
"Alba";"Aiud";"Tetracoq";"1";"2017"
"Alba";"Aiud";"Tetraxim";"56";"2017"
"Alba";"Aiud";"Tritanrix";"2";"2017"
"Alba";"Aiudul de Sus";"BCG ( Alt produs )";"7";"2017"
"Alba";"Aiudul de Sus";"Diftavax";"1";"2017"
"Alba";"Aiudul de Sus";"Engerix B";"2";"2017"
"Alba";"Aiudul de Sus";"Euvax";"3";"2017"
"Alba";"Aiudul de Sus";"Hexacima";"16";"2017"
"Alba";"Aiudul de Sus";"M-M-RVAXPRO";"12";"2017"
"Alba";"Aiudul de Sus";"Priorix";"1";"2017"
"Alba";"Alba Iulia";"Avaxim";"1";"2017"
"Alba";"Alba Iulia";"BCG ( Alt produs )";"220";"2017"
"Alba";"Alba Iulia";"BCG - Cantacuzino";"45";"2017"
"Alba";"Alba Iulia";"Diftavax";"114";"2017"
"Alba";"Alba Iulia";"DTCoq";"43";"2017"
"Alba";"Alba Iulia";"DTVax";"5";"2017"
"Alba";"Alba Iulia";"Engerix B";"188";"2017"
"Alba";"Alba Iulia";"Euvax";"115";"2017"
"Alba";"Alba Iulia";"Havrix";"2";"2017"
"Alba";"Alba Iulia";"Hepavax";"39";"2017"
"Alba";"Alba Iulia";"Hexacima";"526";"2017"
"Alba";"Alba Iulia";"Imovax dT";"8";"2017"
"Alba";"Alba Iulia";"Imovax Polio";"31";"2017"
"Alba";"Alba Iulia";"Infanrix";"11";"2017"
"Alba";"Alba Iulia";"Infanrix Hexa";"119";"2017"
"Alba";"Alba Iulia";"Infanrix Penta";"20";"2017"
"Alba";"Alba Iulia";"M-M-RVAXPRO";"562";"2017"
"Alba";"Alba Iulia";"Meningococic tip C";"14";"2017"
"Alba";"Alba Iulia";"Pentaxim";"207";"2017"
"Alba";"Alba Iulia";"Pneumo23";"3";"2017"
"Alba";"Alba Iulia";"Polio SABIN";"36";"2017"
"Alba";"Alba Iulia";"Prevenar 13";"41";"2017"
"Alba";"Alba Iulia";"Prevenar 7";"1";"2017"
"Alba";"Alba Iulia";"Priorix";"146";"2017"
"Alba";"Alba Iulia";"Rotarix";"43";"2017"
"Alba";"Alba Iulia";"Rotateq";"3";"2017"
"Alba";"Alba Iulia";"Sinflorix";"40";"2017"
"Alba";"Alba Iulia";"Tetracoq";"7";"2017"
"Alba";"Alba Iulia";"Tetraxim";"268";"2017"
"Alba";"Alba Iulia";"Trimovax";"21";"2017"
"Alba";"Alba Iulia";"Tritanrix";"11";"2017"
"Alba";"Alba Iulia";"Varilrix";"14";"2017"
"Alba";"Alba Iulia";"VVR";"5";"2017"
"Alba";"Albac";"BCG ( Alt produs )";"4";"2017"
"Alba";"Albac";"Diftavax";"2";"2017"
"Alba";"Albac";"Engerix B";"3";"2017"
"Alba";"Albac";"Hexacima";"6";"2017"
"Alba";"Albac";"Imovax Polio";"1";"2017"
"Alba";"Albac";"M-M-RVAXPRO";"11";"2017"
"Alba";"Albac";"Pentaxim";"1";"2017"
"Alba";"Albac";"Polio SABIN";"2";"2017"
"Alba";"Albac";"Priorix";"3";"2017"
"Alba";"Albac";"Tetraxim";"1";"2017"
"Alba";"Albac";"Tritanrix";"2";"2017"
"Alba";"Alecus";"Hexacima";"2";"2017"
"Alba";"Alecus";"Tetraxim";"2";"2017"
"Alba";"Almasu de Mijloc";"Diftavax";"1";"2017"
"Alba";"Almasu Mare";"Diftavax";"1";"2017"
"Alba";"Almasu Mare";"Euvax";"1";"2017"
"Alba";"Almasu Mare";"Hexacima";"6";"2017"
"Alba";"Almasu Mare";"M-M-RVAXPRO";"8";"2017"
"Alba";"Almasu Mare";"Pentaxim";"3";"2017"
"Alba";"Almasu Mare";"Priorix";"1";"2017"
"Alba";"Ampoita";"Diftavax";"1";"2017"
"Alba";"Ampoita";"Hexacima";"10";"2017"
"Alba";"Ampoita";"M-M-RVAXPRO";"7";"2017"
"Alba";"Ampoita";"Priorix";"1";"2017"
"Alba";"Arieseni";"Diftavax";"1";"2017"
"Alba";"Arieseni";"Hexacima";"6";"2017"
"Alba";"Arieseni";"M-M-RVAXPRO";"8";"2017"
"Alba";"Arti";"BCG ( Alt produs )";"1";"2017"
"Alba";"Arti";"Engerix B";"1";"2017"
"Alba";"Arti";"Hexacima";"2";"2017"
"Alba";"Avram Iancu";"BCG ( Alt produs )";"2";"2017"
"Alba";"Avram Iancu";"Engerix B";"2";"2017"
"Alba";"Bacainti";"Diftavax";"2";"2017"
"Alba";"Bacainti";"Hexacima";"1";"2017"
"Alba";"Bacainti";"M-M-RVAXPRO";"2";"2017"
"Alba";"Bacainti";"Tetraxim";"3";"2017"
"Alba";"Bagau";"BCG ( Alt produs )";"4";"2017"
"Alba";"Bagau";"Diftavax";"1";"2017"
"Alba";"Bagau";"Engerix B";"2";"2017"
"Alba";"Bagau";"Euvax";"2";"2017"
"Alba";"Bagau";"Hexacima";"3";"2017"
"Alba";"Bagau";"M-M-RVAXPRO";"2";"2017"
"Alba";"Bagau";"Tetraxim";"1";"2017"
"Alba";"Bai";"BCG ( Alt produs )";"1";"2017"
"Alba";"Bai";"Euvax";"1";"2017"
"Alba";"Baia de Aries";"BCG ( Alt produs )";"8";"2017"
"Alba";"Baia de Aries";"Diftavax";"10";"2017"
"Alba";"Baia de Aries";"DTCoq";"1";"2017"
"Alba";"Baia de Aries";"Engerix B";"7";"2017"
"Alba";"Baia de Aries";"Euvax";"6";"2017"
"Alba";"Baia de Aries";"Hexacima";"14";"2017"
"Alba";"Baia de Aries";"Infanrix";"1";"2017"
"Alba";"Baia de Aries";"Infanrix hexa";"1";"2017"
"Alba";"Baia de Aries";"M-M-RVAXPRO";"26";"2017"
"Alba";"Baia de Aries";"Pentaxim";"15";"2017"
"Alba";"Baia de Aries";"Priorix";"5";"2017"
"Alba";"Baia de Aries";"Tetracoq";"5";"2017"
"Alba";"Baia de Aries";"Tetraxim";"4";"2017"
"Alba";"Balcaciu";"BCG ( Alt produs )";"4";"2017"
"Alba";"Balcaciu";"BCG - Cantacuzino";"1";"2017"
"Alba";"Balcaciu";"Diftavax";"2";"2017"
